語幹,意味,単語例
"- spec(t)-, -spic-, -scope-",look（見る）,"aspect（観点）, inspect（検査する）, prospect（見込み）, suspect（疑惑を向ける）,spectacle（見せ物）, speculate（推測する）, perspective（視点）,
spectrum（範囲）, respective（各自の）, spectacular（壮観な）,
retrospect（回顧）, spectator（観客）, inspectorate（調査団）, specter（怖いもの）,
specify（具体的に述べる）, specimen(見本), despicable（軽蔑すべき）,
conspicuous（人目を引く）, microscope（顕微鏡）, kaleidoscope（万華鏡）,
telescope（望遠鏡）, stethoscope（聴診器）, sceptic（疑り深い人）*, spy（見つける）*"
"-posit-, -pos- ",put（置く）,"impose（負わせる、課す）, opposite（反対の）, pose（もたらす）, dispose（配置する）, compose（構成する）,
deposit（保証金）, expose（暴露する）, proposition（主張、提案）, compost（堆肥、混合物）,
posture（姿勢）, disposition（性質、配置）, provost（大学の学長）, superimpose（重ねる）,
depose（免職させる）, repository(貯蔵[保管, 収納]所 ), predispose（傾かせる）,
decompose（腐敗する）, transpose（置き換える）, compound（化合物）"
"-vers-, -vert- ",turn（回す、向く、変わる）,"versus（に対して）, adverse（不都合な、逆向きの）, diverse（多様な）, diversify（多様化する）,
diversion（方向転換）, perverse（ひねくれた）, traverse（横切る、あちかち動く）, convert（変える、転換する）,
divert（転換する、転用する）, inverse（逆の、反対の）, revert（戻る）, inadvertent（不注意な）, pervert（曲解する）,
extrovert（外向[社交]的な）, vertebra(背骨), vertebrate（脊椎動物の）, subvert（覆す）,
subversive（反政府的な）"
"-vent-, -ven- ",come（来る）,"invent（発明する）, convention（大会, 集会）, advent（到来, 出現）, convent（女子修道院）,
circumvent（出し抜く）, avenue(大通り,街), convenient（便利な）, intervene（干渉する）,
revenue（収入, 収益）, venue(開催地, 会場), convene（召集する）, reconvene（再開する）,
convenor（召集者, 主催者）, contravene（違反する, 抵触する）, souvenir（記念品、みやげ）, covenant（契約）"
"-ceive-, -cept- ",take（提供されたものを受けとる）,"concept（概念）, intercept（横取りする）, deceive（騙す）, deceptive（人をだますような）,
perception（理解、知覚）, perceive(知覚する), reception（評判、受け入れ）, receipt（領収書）,
receiver（受話器）, receptive（理解がある、感受性が強い）, misconception（誤解、勘違い）,
perceptive（洞察[理解]力のある）, receptor （感覚[感受]器官）, misconceive（誤解[誤認]する）,
susceptible（影響を受けやすい）"
-super-,above（超えて）,"superb（見事な、上質な）, supermarket（スーパー）, supervise（監督する）, superior（優れている）,
superintendent（最高責任者）, superficial（表面の, 表面的な）, superman（超人）,
supersede（に取って代わる）, superfluous（余分な, 過剰な）, superstore（超大型スーパーマーケット）,
supernatural（超自然の）, superstar（大物俳優）, superstructure（上部構造）,
superpower（超大国）, supersonic（超音速）"
"-nam-, -nom-, -nym-",name（名前）,"surname（姓, 名字）, nickname(あだ名), rename(新しい名を付ける), nominate（推薦する、任命する）,
nominal（名目上の, 名ばかりの）, misnomer（誤称）, renown（名声）, nominee（候補者）,
denomination（宗派, 教派）, anonymous（名前の不明な、匿名の）, synonym（同意[類義]語）,
acronym（頭文字語）, anonymity（匿名）, pseudonym（ペンネーム、仮名）, noun（名詞）*"
"-sens-, -sent-","feel, sense（感じる）","sentence（文）, sensible（分別がある, 思慮深い）, nonsense（ばかげた物）, sensitive（敏感な, 感じやすい）,
sensual（官能的な, 性的魅力のある）, sensor（感知装置）, scent（香り）, sensation（感覚）,
consensus（一致した意見[見解], 総意）, resent(憤慨する, 怒る), sentiment（感情, 意見, 考え方）, consent（同意, 承諾）,
assent（同意, 賛成, 承認）, dissent（異議, 不賛成, 不同意）"
"-sta-, -stan-, -stat-",stand（立つ）,"stable(安定性のある), stall(露店, 屋台, 売店), status(地位, 身分; 資格), distant（遠い, 遠方の）, circumstance（事情、状況、境遇）,
instant（即座の）, stance（態度, 立場）, static（静的な, 変化のない）, obstacle（障害, じゃま）, stool（腰掛け）*,
statue（像, 彫像）, pedestal（土台, 台座）, stature（名声、身長）"
"-mit-, -mis-",send（送る）,"permit(許可する), transmit(送信する), submit（提出する）, emit（放射する）, remit（送る）, omit(除外する),
message(伝言), mission（使節(団), 派遣団）, premise（建物の敷地、前提）, dismiss（退ける）,
missile（ミサイル）, submission（提出）, demise（終了、譲渡する）, omission（省略, 欠落）"
"-mid-, -med(i)-",middle（真ん中）,"immediate（即座の）, medium(中位の, 中間の), media（マスメディア）, medieval（中世の）,
intermediate（中間の、中級者）, Mediterranean（地中海）, mediocre（平凡な）,
mediate（調停をする）, meridian（子午線）, meddle（干渉する）, median（中央の, 中間の.）,
intermediary（仲介者, 仲裁人）, amid(のまん中に)"
"-pris-, -pre-",take（つかむ、取る）,"prison（刑務所）, enterprise（企業、起業、 進取の気性）, comprise（構成する）, apprentice（見習い、修行する）,
prey（餌食、捕食すること）, apprehend（捕らえる）, comprehend（包括する）, predatory（捕食性の、略奪の）,
entrepreneur（起業家）, incomprehensible（不可解な）,
apprehension（懸念、逮捕）, comprehensive（包括的な）,entrepreneurial（起業家の）"
"-dict-, -dicate-",say（言う）,"dictate(口述する), dedicate（ささげる）, abdicate（放棄する）, predicate（述語, 述部）,
vindicate（容疑を晴らす）, predict（予言する）, contradict（反論する）, verdict（評決）,
indict（起訴する）, diction（発声法、話し方）, ditto（同上）*, index（索引）*"
-ces(s)-,go（行く）,"access（権利、接近[入場](方法)）, excess（余分, 過剰）, recession（景気後退）, concession(譲歩, 許容),
recess(閉会、休暇), ancestor（祖先, 先祖）, predecessor（前任者）, procession（先行、優先）,
succession（続くこと、継承）, abscess（腫れ物）, microprocessor（マイクロプロセッサ）, cease（やむ、終わる）"
-form-,form（形）,"formal（正式の、形式ばった）, perform（上演する）, transform（一変させる）, uniform（制服）,
format（形式）, conform（従う）, formula（解決策、公式）, reform（改革, 改良, 改善, 改正）, deform（変形させる）, "
-tract-,draw（引く）,"extract（引き出す、抽出する）, distract（そらす、紛らす）, abstract（抽象的な、要約をつくる）, subtract（引く、減じる）, detract（落とす、損なう、そらす）,
retract（引っ込める、格納する）, contraction（収縮, 短縮）, protracted（長引く, 長期化した）, traction（牽引(力)）,
tractor（牽引車）, intractable（扱いにくい, 手に負えない、強情な）"
-graph-,write（書く）,"telegraph（電報、電報を打つ）, autobiography（自叙伝, 自伝）, biography（伝記、来歴）,
pornography（ポルノ）, autograph（(有名人の)サイン、自筆で書く）, biographer（伝記作家）,
typographical（印刷(上)の）, graph（グラフ, 図表）, graphic（生々しい, 詳細な,画像）, topography（地勢[地形](図); 地誌）,
demography（人口統計学、人口動態）, geography（地理学）"
-gen-,produce（生む）,"genuine（本物の、純粋な、誠実な）, gene（遺伝子）, genesis（創世記、始まり）, genetic（遺伝子の）, genius（天性、天才）,
indigenous（固有の、生来備わった）, ingenuity（創意、工夫、考案[発明]品）, engender（生じさせる, 引き起こす）,
congenital（生まれつきの, 先天的な.）, genital（生殖(器)の）, ingenious（見事な、発明の才能のある）"
"-duce-, -duct-",lead（導く）,"induce（誘発する）, deduce（推論[推定, 演繹]する）, seduce（誘惑する）, conducive（貢献する）,
conduct（指揮する）, abduct（を誘拐[拉致]する）, viaduct（陸橋, 高架橋）, aqueduct（送水路; 水道橋, (高架式)導水橋）,
superconductor（超伝導体）, subdue（鎮圧[制圧]する、支配する、 抑制する）"
"-voca-, -vok-",voice（声）,"advocate（提唱者, 擁護[主張, 支持, 信奉]者）, vocabulary（語彙）, vocal（声の, 音声の）,
invoke（発動[行使]する、援用する）/invocation（祈り）, equivocal（紛らわしい、あいまいな）,
evoke（呼び起こす）/evocation（呼び起こす物、喚起）, vowel（母音）, advocacy（支持, 擁護, 弁護）"
"-cis-, -cid- ",cut（切る）,"precise（正確な; 精密な）, excise（消費税、切除する）, circumcise（割礼を施す）, concise（簡潔な, 簡明な）, incise（切り込みを入れる, 切開する.）,
scissors（はさみ）, suicide（自殺）, pesticide（殺虫剤）"
"-pla-,fla-",flat（平らな）,"plain（明白な, はっきりとした、質素な）, plane（水準, 平面、平らな）, plate（皿, 板）, plaice（ヒラメ、カレイ）, plateau（高原, 台地、停滞期）, plot(筋、平面図、図面を書く)*,
flounder（平たい魚, ヒラ）*"
"-sec-, -sequ-",follow（後に続く）,"consequence（結果, 結末, 成り行き, 影響）, sequence（順序, 配列、連続、結果）, subsequent（その後の, 続いて起こる、（順序が）次の）,
consecutive((中断なしで)連続した, 引き続いて起こる), sequel（続き、 続編、帰結）, prosecute（起訴する）,
consequential（重大な, 結果として起こる; 間接的結果としての.）"
-for(t)-,strong（強い）,"fortress（要塞, 堅固な場所、心の堅固な人）, fortified（要塞化された）, fortitude（我慢強さ, 忍耐, 不屈の精神）, comfort（快適さ, 心地よさ, 安楽, 慰め）,
effort（努力, 奮闘, がんばり）, fort（砦, 要塞）, enforce（施行[執行]する; 遵守させる；強制[強要]する）, reinforce（強化する, より強固にする）, forte（得意(分野), 強み.）"
-vis-,see（見る）,"visible（目に見える）, envisage（明確に心に描く、見込む）, revise（変える, 改める、見直す）, supervise（監督する, 管理[指揮, 指導]する）, visual（視覚の、 視覚による）,
vision（視力,、視覚、見ること、視界）, television（テレビ）"
